"fecha","hora","contexto","componente","nombre","user id","descripcion","module id"
"05/03/2017","10:06","Curso: FC Grupo E","Sistema","Curso visto","35646","viewed the section number '5' of the course","NULL"
"05/03/2017","10:06","Curso: FC Grupo E","Sistema","Curso visto","35646","viewed the section number '-1' of the course","NULL"
"05/03/2017","10:00","Archivo: Nota Final Primer Parcial","Recurso","MÃ³dulo de curso visto","35646","viewed the 'resource' activity with course","2695407"
"05/03/2017","10:00","Curso: FC Grupo E","Sistema","Curso visto","35646","viewed the section number '-1' of the course","NULL"
"04/03/2017","10:13","Archivo: Tema 8","Recurso","MÃ³dulo de curso visto","391864","viewed the 'resource' activity with course","2723903"
"04/03/2017","10:13","Curso: FC Grupo E","Sistema","Curso visto","391864","viewed the section number '1' of the course","NULL"
"04/03/2017","10:13","Curso: FC Grupo E","Sistema","Curso visto","391864","viewed the section number '-1' of the course","NULL"
"04/03/2017","10:13","PÃ¡gina: Temario 2Âº Cuatrimestre","PÃ¡gina","MÃ³dulo de curso visto","391864","viewed the 'page' activity with course","2670428"
"04/03/2017","10:12","Curso: FC Grupo E","Sistema","Curso visto","391864","viewed the section number '-1' of the course","NULL"
"01/03/2017","11:00","Carpeta: PrÃ¡ctica 1","Carpeta","MÃ³dulo de curso visto","404791","viewed the 'folder' activity with course","2689738"
"01/03/2017","11:00","Curso: FC Grupo E","Sistema","Curso visto","404791","viewed the section number '3' of the course","NULL"
"01/03/2017","11:00","Curso: FC Grupo E","Sistema","Curso visto","404791","viewed the section number '3' of the course","NULL"
"01/03/2017","10:59","Archivo: Enunciado Examen de Febrero 2017","Recurso","MÃ³dulo de curso visto","404791","viewed the 'resource' activity with course","2713516"
"01/03/2017","10:59","Curso: FC Grupo E","Sistema","Curso visto","404791","viewed the section number '-1' of the course","NULL"
"01/03/2017","10:59","Archivo: Enunciado Examen de Febrero 2017","Recurso","MÃ³dulo de curso visto","404791","viewed the 'resource' activity with course","2713516"
"01/03/2017","10:59","Curso: FC Grupo E","Sistema","Curso visto","404791","viewed the section number '-1' of the course","NULL"
